id,uid,name,slug,loyalty_type,stamps_in_strip,apple_background_color,apple_description,apple_foreground_color,apple_label_color,enroll_logo,apple_pass_icon,apple_pass_strips_folder,apple_back_fields,apple_header_field_label,apple_header_field_value,cardholder_label,max_transaction_amount,tier,active,header_text,max_transaction_amount_per_day,enable_new_transaction_email,apple_pass_icon_rectangle,timezone_id,country_id,require_business_branch_in_form,enable_raffles,card_qr_redirect_url,additional_form_checkbox,can_see_products_analytics,can_see_business_branches_analytics,can_do_exports
103,81a7b319,The Dining Room,the-dining-room,BALANCE,,#2C3E50,Loyalty card for The Dining Room,#FFFFFF,#CCCCCC,assets/logos/the-dining-room.png,assets/icons/the-dining-room.png,assets/strips/the-dining-room/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/the-dining-room""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,2000,CORE,1,Welcome to The Dining Room,10000,1,assets/icons/the-dining-room_rect.png,1,1,1,0,https://luyoa.com/enroll/the-dining-room,[],1,1,0
104,73014c55,EyePoint,eyepoint,BALANCE,,#FFFFFF,Loyalty card for EyePoint,#FFFFFF,#CCCCCC,assets/logos/eyepoint.png,assets/icons/eyepoint.png,assets/strips/eyepoint/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/eyepoint""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,1000,STARTER,1,Welcome to EyePoint,2000,0,assets/icons/eyepoint_rect.png,4,2,1,1,https://luyoa.com/enroll/eyepoint,[],0,0,0
105,d6eddba5,BrightEyes,brighteyes-227,BALANCE,,#F5F5F5,Loyalty card for BrightEyes,#FFFFFF,#CCCCCC,assets/logos/brighteyes-227.png,assets/icons/brighteyes-227.png,assets/strips/brighteyes-227/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/brighteyes-227""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,1000,STARTER,1,Welcome to BrightEyes,5000,0,assets/icons/brighteyes-227_rect.png,1,1,0,0,https://luyoa.com/enroll/brighteyes-227,[],0,0,0
106,2b4cf0cf,HappyPet,happypet-150,STAMPS,10,#F5F5F5,Loyalty card for HappyPet,#FFFFFF,#CCCCCC,assets/logos/happypet-150.png,assets/icons/happypet-150.png,assets/strips/happypet-150/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/happypet-150""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,500,GROW,1,Welcome to HappyPet,2500,0,assets/icons/happypet-150_rect.png,2,2,0,1,https://luyoa.com/enroll/happypet-150,[],1,1,1
107,5909b669,Daily Flow,daily-flow-659,BALANCE,,#1A1A2E,Loyalty card for Daily Flow,#FFFFFF,#CCCCCC,assets/logos/daily-flow-659.png,assets/icons/daily-flow-659.png,assets/strips/daily-flow-659/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/daily-flow-659""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,5000,CORE,1,Welcome to Daily Flow,25000,1,assets/icons/daily-flow-659_rect.png,4,2,0,0,https://luyoa.com/enroll/daily-flow-659,[],1,1,0
108,c41cc4dd,Quick Bite,quick-bite-361,BALANCE,,#FFFFFF,Loyalty card for Quick Bite,#FFFFFF,#CCCCCC,assets/logos/quick-bite-361.png,assets/icons/quick-bite-361.png,assets/strips/quick-bite-361/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/quick-bite-361""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,5000,CORE,1,Welcome to Quick Bite,15000,0,assets/icons/quick-bite-361_rect.png,4,2,0,0,https://luyoa.com/enroll/quick-bite-361,[],1,1,0
109,dd125ea1,StyleCorner,stylecorner,BALANCE,,#0F3460,Loyalty card for StyleCorner,#FFFFFF,#CCCCCC,assets/logos/stylecorner.png,assets/icons/stylecorner.png,assets/strips/stylecorner/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/stylecorner""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,2000,GROW,1,Welcome to StyleCorner,10000,0,assets/icons/stylecorner_rect.png,4,2,1,1,https://luyoa.com/enroll/stylecorner,[],1,1,1
110,02e1a059,Serenity Spa,serenity-spa,BALANCE,,#1A1A2E,Loyalty card for Serenity Spa,#FFFFFF,#CCCCCC,assets/logos/serenity-spa.png,assets/icons/serenity-spa.png,assets/strips/serenity-spa/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/serenity-spa""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,200,CORE,1,Welcome to Serenity Spa,400,0,assets/icons/serenity-spa_rect.png,1,1,0,0,https://luyoa.com/enroll/serenity-spa,[],1,1,0
111,9b43ce44,VoiceBox Academy,voicebox-academy,STATIC,,#0F3460,Loyalty card for VoiceBox Academy,#FFFFFF,#CCCCCC,assets/logos/voicebox-academy.png,assets/icons/voicebox-academy.png,assets/strips/voicebox-academy/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/voicebox-academy""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,1000,CORE,1,Welcome to VoiceBox Academy,3000,0,assets/icons/voicebox-academy_rect.png,3,2,1,0,https://luyoa.com/enroll/voicebox-academy,[],1,1,0
112,f6d62a08,Shelf Life,shelf-life,BALANCE,,#1A1A2E,Loyalty card for Shelf Life,#FFFFFF,#CCCCCC,assets/logos/shelf-life.png,assets/icons/shelf-life.png,assets/strips/shelf-life/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/shelf-life""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,500,CORE,1,Welcome to Shelf Life,2500,0,assets/icons/shelf-life_rect.png,1,1,1,0,https://luyoa.com/enroll/shelf-life,[],1,1,0
113,6e1a4c45,VisionLab,visionlab,BALANCE,,#F5F5F5,Loyalty card for VisionLab,#FFFFFF,#CCCCCC,assets/logos/visionlab.png,assets/icons/visionlab.png,assets/strips/visionlab/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/visionlab""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,1000,CORE,1,Welcome to VisionLab,5000,0,assets/icons/visionlab_rect.png,1,1,1,1,https://luyoa.com/enroll/visionlab,[],1,1,0
114,2ca02361,AnimalHouse,animalhouse,BALANCE,,#F5F5F5,Loyalty card for AnimalHouse,#FFFFFF,#CCCCCC,assets/logos/animalhouse.png,assets/icons/animalhouse.png,assets/strips/animalhouse/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/animalhouse""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,500,STARTER,1,Welcome to AnimalHouse,1500,0,assets/icons/animalhouse_rect.png,3,2,0,1,https://luyoa.com/enroll/animalhouse,[],0,0,0
115,43720498,The Reading Room,the-reading-room,STAMPS,8,#F5F5F5,Loyalty card for The Reading Room,#FFFFFF,#CCCCCC,assets/logos/the-reading-room.png,assets/icons/the-reading-room.png,assets/strips/the-reading-room/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/the-reading-room""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,5000,CORE,1,Welcome to The Reading Room,10000,1,assets/icons/the-reading-room_rect.png,1,1,1,1,https://luyoa.com/enroll/the-reading-room,[],1,1,0
116,e450565a,The Dental Studio,the-dental-studio-547,STATIC,,#1A1A2E,Loyalty card for The Dental Studio,#FFFFFF,#CCCCCC,assets/logos/the-dental-studio-547.png,assets/icons/the-dental-studio-547.png,assets/strips/the-dental-studio-547/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/the-dental-studio-547""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,500,CORE,1,Welcome to The Dental Studio,1500,0,assets/icons/the-dental-studio-547_rect.png,3,2,1,1,https://luyoa.com/enroll/the-dental-studio-547,[],1,1,0
117,c417fbdd,TheWinery,thewinery,STATIC,,#0F3460,Loyalty card for TheWinery,#FFFFFF,#CCCCCC,assets/logos/thewinery.png,assets/icons/thewinery.png,assets/strips/thewinery/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/thewinery""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,5000,CORE,1,Welcome to TheWinery,10000,0,assets/icons/thewinery_rect.png,1,1,1,0,https://luyoa.com/enroll/thewinery,[],1,1,0
118,6ea94308,Align Yoga,align-yoga,STAMPS,6,#FFFFFF,Loyalty card for Align Yoga,#FFFFFF,#CCCCCC,assets/logos/align-yoga.png,assets/icons/align-yoga.png,assets/strips/align-yoga/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/align-yoga""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,1000,CORE,1,Welcome to Align Yoga,3000,1,assets/icons/align-yoga_rect.png,1,1,0,0,https://luyoa.com/enroll/align-yoga,[],1,1,0
119,fbb98533,Quick Bite,quick-bite-425,STATIC,,#0F3460,Loyalty card for Quick Bite,#FFFFFF,#CCCCCC,assets/logos/quick-bite-425.png,assets/icons/quick-bite-425.png,assets/strips/quick-bite-425/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/quick-bite-425""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,200,STARTER,1,Welcome to Quick Bite,400,1,assets/icons/quick-bite-425_rect.png,3,2,0,0,https://luyoa.com/enroll/quick-bite-425,[],0,0,0
120,52bfc143,OralFirst,oralfirst,BALANCE,,#F5F5F5,Loyalty card for OralFirst,#FFFFFF,#CCCCCC,assets/logos/oralfirst.png,assets/icons/oralfirst.png,assets/strips/oralfirst/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/oralfirst""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,500,GROW,0,Welcome to OralFirst,1500,0,assets/icons/oralfirst_rect.png,4,2,1,0,https://luyoa.com/enroll/oralfirst,[],1,1,1
121,34533fbb,The Tech Store,the-tech-store-562,BALANCE,,#2C3E50,Loyalty card for The Tech Store,#FFFFFF,#CCCCCC,assets/logos/the-tech-store-562.png,assets/icons/the-tech-store-562.png,assets/strips/the-tech-store-562/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/the-tech-store-562""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,5000,STARTER,1,Welcome to The Tech Store,15000,0,assets/icons/the-tech-store-562_rect.png,1,1,1,0,https://luyoa.com/enroll/the-tech-store-562,[],0,0,0
122,b1e8f83d,Casa Blanca,casa-blanca-857,STAMPS,12,#2C3E50,Loyalty card for Casa Blanca,#FFFFFF,#CCCCCC,assets/logos/casa-blanca-857.png,assets/icons/casa-blanca-857.png,assets/strips/casa-blanca-857/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/casa-blanca-857""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,5000,CORE,0,Welcome to Casa Blanca,25000,0,assets/icons/casa-blanca-857_rect.png,2,2,0,0,https://luyoa.com/enroll/casa-blanca-857,[],1,1,0
123,f70c2822,AutoClean,autoclean-537,STAMPS,10,#2C3E50,Loyalty card for AutoClean,#FFFFFF,#CCCCCC,assets/logos/autoclean-537.png,assets/icons/autoclean-537.png,assets/strips/autoclean-537/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/autoclean-537""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,200,STARTER,1,Welcome to AutoClean,1000,0,assets/icons/autoclean-537_rect.png,2,2,1,0,https://luyoa.com/enroll/autoclean-537,[],0,0,0
124,791d1bfd,The Fork,the-fork-366,BALANCE,,#1A1A2E,Loyalty card for The Fork,#FFFFFF,#CCCCCC,assets/logos/the-fork-366.png,assets/icons/the-fork-366.png,assets/strips/the-fork-366/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/the-fork-366""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,200,GROW,1,Welcome to The Fork,1000,0,assets/icons/the-fork-366_rect.png,1,1,1,0,https://luyoa.com/enroll/the-fork-366,[],1,1,1
125,85cded59,Harvest Table,harvest-table,BALANCE,,#1B4F72,Loyalty card for Harvest Table,#FFFFFF,#CCCCCC,assets/logos/harvest-table.png,assets/icons/harvest-table.png,assets/strips/harvest-table/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/harvest-table""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,2000,STARTER,1,Welcome to Harvest Table,4000,0,assets/icons/harvest-table_rect.png,4,2,1,0,https://luyoa.com/enroll/harvest-table,[],0,0,0
126,68204a71,Cloth & Co,cloth-and-co-528,BALANCE,,#2C3E50,Loyalty card for Cloth & Co,#FFFFFF,#CCCCCC,assets/logos/cloth-and-co-528.png,assets/icons/cloth-and-co-528.png,assets/strips/cloth-and-co-528/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/cloth-and-co-528""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,2000,CORE,1,Welcome to Cloth & Co,4000,0,assets/icons/cloth-and-co-528_rect.png,3,2,1,0,https://luyoa.com/enroll/cloth-and-co-528,[],1,1,0
127,86460714,The Dining Room,the-dining-room-448,BALANCE,,#1B4F72,Loyalty card for The Dining Room,#FFFFFF,#CCCCCC,assets/logos/the-dining-room-448.png,assets/icons/the-dining-room-448.png,assets/strips/the-dining-room-448/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/the-dining-room-448""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,2000,STARTER,1,Welcome to The Dining Room,6000,1,assets/icons/the-dining-room-448_rect.png,1,1,0,0,https://luyoa.com/enroll/the-dining-room-448,[],0,0,0
128,e6870079,YogaSpace,yogaspace,BALANCE,,#FFFFFF,Loyalty card for YogaSpace,#FFFFFF,#CCCCCC,assets/logos/yogaspace.png,assets/icons/yogaspace.png,assets/strips/yogaspace/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/yogaspace""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,2000,CORE,1,Welcome to YogaSpace,4000,1,assets/icons/yogaspace_rect.png,1,1,1,0,https://luyoa.com/enroll/yogaspace,[],1,1,0
129,5e961545,Go Burger,go-burger,STAMPS,12,#0F3460,Loyalty card for Go Burger,#FFFFFF,#CCCCCC,assets/logos/go-burger.png,assets/icons/go-burger.png,assets/strips/go-burger/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/go-burger""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,1000,STARTER,1,Welcome to Go Burger,3000,1,assets/icons/go-burger_rect.png,1,1,1,1,https://luyoa.com/enroll/go-burger,[],0,0,0
130,086edbc5,Green Table,green-table,STAMPS,6,#2C3E50,Loyalty card for Green Table,#FFFFFF,#CCCCCC,assets/logos/green-table.png,assets/icons/green-table.png,assets/strips/green-table/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/green-table""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,500,CORE,1,Welcome to Green Table,1500,0,assets/icons/green-table_rect.png,1,1,0,0,https://luyoa.com/enroll/green-table,[],1,1,0
131,2b918d32,WhiteSmile,whitesmile-34,STAMPS,8,#1A1A2E,Loyalty card for WhiteSmile,#FFFFFF,#CCCCCC,assets/logos/whitesmile-34.png,assets/icons/whitesmile-34.png,assets/strips/whitesmile-34/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/whitesmile-34""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,2000,STARTER,1,Welcome to WhiteSmile,4000,0,assets/icons/whitesmile-34_rect.png,1,1,1,0,https://luyoa.com/enroll/whitesmile-34,[],0,0,0
132,45528b33,The Reading Room,the-reading-room-512,STAMPS,12,#FFFFFF,Loyalty card for The Reading Room,#FFFFFF,#CCCCCC,assets/logos/the-reading-room-512.png,assets/icons/the-reading-room-512.png,assets/strips/the-reading-room-512/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/the-reading-room-512""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,5000,STARTER,1,Welcome to The Reading Room,15000,1,assets/icons/the-reading-room-512_rect.png,1,1,0,1,https://luyoa.com/enroll/the-reading-room-512,[],0,0,0
133,50647900,The Wardrobe,the-wardrobe-874,STAMPS,6,#F5F5F5,Loyalty card for The Wardrobe,#FFFFFF,#CCCCCC,assets/logos/the-wardrobe-874.png,assets/icons/the-wardrobe-874.png,assets/strips/the-wardrobe-874/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/the-wardrobe-874""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,2000,GROW,1,Welcome to The Wardrobe,6000,0,assets/icons/the-wardrobe-874_rect.png,1,1,1,1,https://luyoa.com/enroll/the-wardrobe-874,[],1,1,1
134,ab07358d,PetZone,petzone-872,STAMPS,8,#1A1A2E,Loyalty card for PetZone,#FFFFFF,#CCCCCC,assets/logos/petzone-872.png,assets/icons/petzone-872.png,assets/strips/petzone-872/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/petzone-872""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,500,CORE,1,Welcome to PetZone,1000,0,assets/icons/petzone-872_rect.png,1,1,0,0,https://luyoa.com/enroll/petzone-872,[],1,1,0
135,2cc0dd55,Align Yoga,align-yoga-133,BALANCE,,#FFFFFF,Loyalty card for Align Yoga,#FFFFFF,#CCCCCC,assets/logos/align-yoga-133.png,assets/icons/align-yoga-133.png,assets/strips/align-yoga-133/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/align-yoga-133""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,5000,CORE,1,Welcome to Align Yoga,15000,1,assets/icons/align-yoga-133_rect.png,1,1,1,0,https://luyoa.com/enroll/align-yoga-133,[],1,1,0
136,be76796e,BottleShop,bottleshop-697,BALANCE,,#1A1A2E,Loyalty card for BottleShop,#FFFFFF,#CCCCCC,assets/logos/bottleshop-697.png,assets/icons/bottleshop-697.png,assets/strips/bottleshop-697/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/bottleshop-697""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,5000,GROW,1,Welcome to BottleShop,25000,0,assets/icons/bottleshop-697_rect.png,3,2,0,0,https://luyoa.com/enroll/bottleshop-697,[],1,1,1
137,4e289a60,Juice Lab,juice-lab,STATIC,,#F5F5F5,Loyalty card for Juice Lab,#FFFFFF,#CCCCCC,assets/logos/juice-lab.png,assets/icons/juice-lab.png,assets/strips/juice-lab/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/juice-lab""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,500,STARTER,1,Welcome to Juice Lab,2500,0,assets/icons/juice-lab_rect.png,1,1,1,1,https://luyoa.com/enroll/juice-lab,[],0,0,0
138,a28aeba3,Cloth & Co,cloth-and-co-129,STAMPS,10,#2C3E50,Loyalty card for Cloth & Co,#FFFFFF,#CCCCCC,assets/logos/cloth-and-co-129.png,assets/icons/cloth-and-co-129.png,assets/strips/cloth-and-co-129/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/cloth-and-co-129""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,5000,STARTER,1,Welcome to Cloth & Co,25000,0,assets/icons/cloth-and-co-129_rect.png,4,2,0,0,https://luyoa.com/enroll/cloth-and-co-129,[],0,0,0
139,e205a29e,TechBox,techbox,STAMPS,6,#FFFFFF,Loyalty card for TechBox,#FFFFFF,#CCCCCC,assets/logos/techbox.png,assets/icons/techbox.png,assets/strips/techbox/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/techbox""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,200,CORE,1,Welcome to TechBox,1000,1,assets/icons/techbox_rect.png,4,2,0,1,https://luyoa.com/enroll/techbox,[],1,1,0
140,7e684abd,CarGlow,carglow-658,BALANCE,,#0F3460,Loyalty card for CarGlow,#FFFFFF,#CCCCCC,assets/logos/carglow-658.png,assets/icons/carglow-658.png,assets/strips/carglow-658/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/carglow-658""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,1000,STARTER,1,Welcome to CarGlow,5000,1,assets/icons/carglow-658_rect.png,4,2,1,0,https://luyoa.com/enroll/carglow-658,[],0,0,0
141,a3210f86,The Quick Plate,the-quick-plate,BALANCE,,#2C3E50,Loyalty card for The Quick Plate,#FFFFFF,#CCCCCC,assets/logos/the-quick-plate.png,assets/icons/the-quick-plate.png,assets/strips/the-quick-plate/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/the-quick-plate""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,1000,STARTER,1,Welcome to The Quick Plate,5000,1,assets/icons/the-quick-plate_rect.png,1,1,1,0,https://luyoa.com/enroll/the-quick-plate,[],0,0,0
142,de19aaae,Wellness Hub,wellness-hub,STAMPS,6,#0F3460,Loyalty card for Wellness Hub,#FFFFFF,#CCCCCC,assets/logos/wellness-hub.png,assets/icons/wellness-hub.png,assets/strips/wellness-hub/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/wellness-hub""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,1000,CORE,1,Welcome to Wellness Hub,2000,0,assets/icons/wellness-hub_rect.png,1,1,1,0,https://luyoa.com/enroll/wellness-hub,[],1,1,0
143,84d337c1,PowerTech,powertech,BALANCE,,#F5F5F5,Loyalty card for PowerTech,#FFFFFF,#CCCCCC,assets/logos/powertech.png,assets/icons/powertech.png,assets/strips/powertech/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/powertech""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,1000,GROW,1,Welcome to PowerTech,3000,1,assets/icons/powertech_rect.png,3,2,1,0,https://luyoa.com/enroll/powertech,[],1,1,1
144,9cce636d,Breathe & Bend,breathe-and-bend,BALANCE,,#1A1A2E,Loyalty card for Breathe & Bend,#FFFFFF,#CCCCCC,assets/logos/breathe-and-bend.png,assets/icons/breathe-and-bend.png,assets/strips/breathe-and-bend/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/breathe-and-bend""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,5000,GROW,1,Welcome to Breathe & Bend,15000,1,assets/icons/breathe-and-bend_rect.png,1,1,1,0,https://luyoa.com/enroll/breathe-and-bend,[],1,1,1
145,fe4823ca,Tokyo Table,tokyo-table-745,STAMPS,10,#1A1A2E,Loyalty card for Tokyo Table,#FFFFFF,#CCCCCC,assets/logos/tokyo-table-745.png,assets/icons/tokyo-table-745.png,assets/strips/tokyo-table-745/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/tokyo-table-745""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,2000,STARTER,1,Welcome to Tokyo Table,4000,0,assets/icons/tokyo-table-745_rect.png,1,1,1,1,https://luyoa.com/enroll/tokyo-table-745,[],0,0,0
146,67852327,StyleCorner,stylecorner-697,BALANCE,,#FFFFFF,Loyalty card for StyleCorner,#FFFFFF,#CCCCCC,assets/logos/stylecorner-697.png,assets/icons/stylecorner-697.png,assets/strips/stylecorner-697/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/stylecorner-697""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,5000,CORE,1,Welcome to StyleCorner,10000,1,assets/icons/stylecorner-697_rect.png,3,2,1,0,https://luyoa.com/enroll/stylecorner-697,[],1,1,0
147,429b0442,Umami Place,umami-place,STATIC,,#FFFFFF,Loyalty card for Umami Place,#FFFFFF,#CCCCCC,assets/logos/umami-place.png,assets/icons/umami-place.png,assets/strips/umami-place/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/umami-place""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Stamps,{{balance}},Member,5000,CORE,1,Welcome to Umami Place,10000,1,assets/icons/umami-place_rect.png,1,1,1,1,https://luyoa.com/enroll/umami-place,[],1,1,0
148,a55cd880,EasyTalk,easytalk-327,BALANCE,,#0F3460,Loyalty card for EasyTalk,#FFFFFF,#CCCCCC,assets/logos/easytalk-327.png,assets/icons/easytalk-327.png,assets/strips/easytalk-327/,"[{""key"": ""web"", ""label"": ""Visit us"", ""value"": ""https://luyoa.com/easytalk-327""}, {""key"": ""support"", ""label"": ""Support"", ""value"": ""hello@luyoa.com""}]",Balance,{{balance}},Member,500,GROW,1,Welcome to EasyTalk,2500,1,assets/icons/easytalk-327_rect.png,1,1,1,1,https://luyoa.com/enroll/easytalk-327,[],1,1,1
